match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,season,home_team,away_team
2000-12-10,Liverpool,Ipswich,0,1,A,0,1,A,Alan Wiley,14,11,5,6,8,5,12,14,1,3,0,0,2000-01,Liverpool,Ipswich Town
2000-12-16,Aston Villa,Man City,2,2,D,0,0,D,Andy D'Urso,10,9,5,4,5,4,8,16,2,1,1,0,2000-01,Aston Villa,Manchester City
2000-12-16,Derby,Coventry,1,0,H,1,0,H,Matt Messias,4,14,3,5,3,5,17,10,1,3,0,0,2000-01,Derby County,Coventry City
2000-12-16,Everton,West Ham,1,1,D,0,0,D,Clive Wilkes,15,9,5,4,9,7,10,7,1,2,0,0,2000-01,Everton,West Ham United
2000-12-16,Ipswich,Southampton,3,1,H,0,1,A,Barry Knight,15,13,7,4,6,1,11,12,1,2,0,0,2000-01,Ipswich Town,Southampton
2000-12-16,Leeds,Sunderland,2,0,H,1,0,H,Rob Styles,17,17,8,6,8,5,16,20,3,4,0,0,2000-01,Leeds United,Sunderland
2000-12-16,Leicester,Charlton,3,1,H,1,1,D,Alan Wiley,9,12,5,8,5,5,11,16,1,2,0,0,2000-01,Leicester City,Charlton Athletic
2000-12-16,Middlesbrough,Chelsea,1,0,H,0,0,D,Peter Jones,7,9,4,3,3,5,14,16,0,2,0,0,2000-01,Middlesbrough,Chelsea
2000-12-16,Newcastle,Bradford,2,1,H,1,0,H,Steve Dunn,17,7,6,3,4,3,16,17,0,2,0,0,2000-01,Newcastle United,Bradford City
2000-12-17,Man United,Liverpool,0,1,A,0,1,A,Mike Riley,6,9,4,4,9,2,10,11,1,0,1,0,2000-01,Manchester United,Liverpool
2000-12-18,Tottenham,Arsenal,1,1,D,1,0,H,Jeff Winter,8,17,4,10,3,7,20,14,2,1,0,0,2000-01,Tottenham Hotspur,Arsenal
2000-12-22,Coventry,Southampton,1,1,D,1,0,H,Alan Wiley,12,10,5,2,8,6,12,13,1,1,0,0,2000-01,Coventry City,Southampton
2000-12-23,Charlton,Everton,1,0,H,1,0,H,Graham Barber,10,10,7,4,13,6,15,21,1,4,0,0,2000-01,Charlton Athletic,Everton
2000-12-23,Chelsea,Bradford,3,0,H,1,0,H,Barry Knight,17,7,8,1,5,4,8,12,0,1,0,0,2000-01,Chelsea,Bradford City
2000-12-23,Derby,Newcastle,2,0,H,1,0,H,Rob Harris,8,8,5,4,2,3,17,16,1,2,0,0,2000-01,Derby County,Newcastle United
2000-12-23,Leeds,Aston Villa,1,2,A,0,1,A,Mark Halsey,15,8,5,5,10,2,18,18,1,4,0,0,2000-01,Leeds United,Aston Villa
2000-12-23,Leicester,West Ham,2,1,H,1,1,D,Graham Poll,11,11,6,4,6,5,7,5,1,0,0,0,2000-01,Leicester City,West Ham United
2000-12-23,Liverpool,Arsenal,4,0,H,1,0,H,Paul Durkin,12,12,6,6,6,3,18,14,2,0,0,0,2000-01,Liverpool,Arsenal
2000-12-23,Man United,Ipswich,2,0,H,2,0,H,Steve Bennett,20,5,4,3,11,3,7,8,0,1,0,0,2000-01,Manchester United,Ipswich Town
2000-12-23,Sunderland,Man City,1,0,H,1,0,H,David Ellaray,9,9,5,3,8,6,14,18,2,2,0,0,2000-01,Sunderland,Manchester City
2000-12-23,Tottenham,Middlesbrough,0,0,D,0,0,D,Rob Styles,16,5,8,0,8,4,22,13,2,3,0,0,2000-01,Tottenham Hotspur,Middlesbrough
2000-12-26,Arsenal,Leicester,6,1,H,1,0,H,Dermot Gallagher,27,2,15,2,14,0,14,11,0,0,0,0,2000-01,Arsenal,Leicester City
2000-12-26,Aston Villa,Man United,0,1,A,0,0,D,Graham Poll,6,14,3,3,2,4,15,16,1,2,0,0,2000-01,Aston Villa,Manchester United
2000-12-26,Bradford,Sunderland,1,4,A,0,1,A,Paul Durkin,11,16,3,11,9,8,17,17,2,0,0,0,2000-01,Bradford City,Sunderland
2000-12-26,Everton,Coventry,1,2,A,0,0,D,Neale Barry,17,10,9,5,5,2,14,16,2,1,0,0,2000-01,Everton,Coventry City
2000-12-26,Ipswich,Chelsea,2,2,D,1,2,A,Jeff Winter,19,7,13,4,8,2,5,9,0,4,0,0,2000-01,Ipswich Town,Chelsea
2000-12-26,Man City,Derby,0,0,D,0,0,D,Mike Riley,15,14,7,3,7,7,15,14,2,2,0,0,2000-01,Manchester City,Derby County
2000-12-26,Middlesbrough,Liverpool,1,0,H,1,0,H,Steve Lodge,7,11,2,5,2,6,7,9,2,2,0,0,2000-01,Middlesbrough,Liverpool
2000-12-26,Newcastle,Leeds,2,1,H,2,1,H,Andy D'Urso,13,8,4,5,7,2,23,17,4,2,0,0,2000-01,Newcastle United,Leeds United
2000-12-26,West Ham,Charlton,5,0,H,3,0,H,Steve Dunn,17,12,10,8,5,8,19,11,1,0,0,0,2000-01,West Ham United,Charlton Athletic
2000-12-27,Southampton,Tottenham,2,0,H,2,0,H,David Ellaray,17,7,6,2,4,4,17,13,1,3,0,0,2000-01,Southampton,Tottenham Hotspur
2000-12-30,Arsenal,Sunderland,2,2,D,2,0,H,Graham Barber,17,14,9,7,11,1,14,18,0,3,0,0,2000-01,Arsenal,Sunderland
2000-12-30,Ipswich,Tottenham,3,0,H,1,0,H,Matt Messias,18,6,9,3,10,5,13,17,0,0,0,0,2000-01,Ipswich Town,Tottenham Hotspur
2000-12-30,Man City,Charlton,1,4,A,0,2,A,Clive Wilkes,8,13,1,8,7,4,11,14,1,2,0,0,2000-01,Manchester City,Charlton Athletic
2000-12-30,Middlesbrough,Coventry,1,1,D,0,1,A,Dermot Gallagher,14,9,6,3,4,3,9,16,1,3,0,0,2000-01,Middlesbrough,Coventry City
2000-12-30,Newcastle,Man United,1,1,D,0,1,A,Mike Riley,14,8,4,6,6,3,13,10,2,3,0,0,2000-01,Newcastle United,Manchester United
2000-12-30,Southampton,Derby,1,0,H,0,0,D,Andy D'Urso,10,9,5,5,7,6,17,10,0,2,0,0,2000-01,Southampton,Derby County
2001-01-01,Charlton,Arsenal,1,0,H,1,0,H,Graham Poll,9,10,4,5,6,12,15,12,1,1,0,0,2000-01,Charlton Athletic,Arsenal
